sample_id,asv_score,source,text,text_length,word_count,unique_word_ratio,auto_classification,manual_classification,notes
halueval_qa_5,0.4272727272727271,halueval,Cadmium chloride is slightly soluble in alcohol.,48,7,1.0,TOO_SHORT,,
halueval_qa_1554,0.4307692307692307,halueval,The John Coltrane Home is located in the United States.,55,10,0.9,NEEDS_MANUAL_REVIEW,,
halueval_qa_1112,0.4307692307692307,halueval,"Ming-Na Wen was born on November 20, 1963.",42,8,1.0,TOO_SHORT,,
halueval_qa_3513,0.4314814814814814,halueval,"S. Truett Cathy founded Chick-fil-A, which is headquartered in Georgia.",71,10,1.0,LIKELY_REPETITION,,
halueval_qa_758,0.432456140350877,halueval,"Allkpop is based in the borough of Edgewater, Bergen County, New Jersey.",72,12,1.0,NEEDS_MANUAL_REVIEW,,
halueval_qa_941,0.436111111111111,halueval,Ezhou and Yangzhong are both cities in China.,45,8,1.0,TOO_SHORT,,
halueval_qa_241,0.438095238095238,halueval,"Mark L. Lester is American, while Ken Loach is British.",55,10,0.9,LIKELY_REPETITION,,
halueval_qa_2425,0.4407407407407407,halueval,Testosterone is a naturally occurring steroid hormone.,54,7,1.0,NEEDS_MANUAL_REVIEW,,
halueval_qa_73,0.4407407407407407,halueval,Golf Magazine is owned by Time Inc.,35,7,1.0,TOO_SHORT,,
halueval_qa_1141,0.4407407407407407,halueval,Bank of America is headquartered in North Carolina.,51,8,1.0,NEEDS_MANUAL_REVIEW,,
halueval_qa_4124,0.4424242424242423,halueval,The Hanover Hound is descended from bloodhounds.,48,7,1.0,TOO_SHORT,,
